Cohort	Trait	Source	prev	h2_high	h2_low	h2_real	h2_snp	train_nCa	train_nCo	train_nCa_eff	train_nCo_eff	train_h2_snp	train_rg_test	fgrs_eacc_all	fgrs_eacc_ps	fgrs_eacc_w_all	fgrs_eacc_w_ps	pgs_r2l_cc	pgs_r2l_rand	pgs_r2l_cc_wt	fgrs_r2l_cc	fgrs_r2l_rand	fgrs_r2l_cc_wt	ps_r2l	pgs_fgrs_cor	pgs_ps_cor	pgs_fgrs_cor_rand
2015i	ADHD	PGC_noiPSYCH	0.03235	0.8	0.6	0.83	0.172	4515	11702	4515	11702	0.106	1.15	0.327	0.2949	0.2155	0.1889	0.00501076	NA	NA	0.02224685	NA	NA	0.014992569	0.03		NA
2015i	ADHD	iPSYCH_Eur	0.03235	0.8	0.6	0.83	0.172	16911	24043	16911	24043	0.187	1.07	0.327	0.2949	0.2155	0.1889	0.03395788	NA	NA	0.02235186	NA	NA	0.014992569	0.126	NA	NA
2015i	ADHD	iPSYCH_EurUnrel	0.03235	0.8	0.6	0.83	0.172	14440	23539	14440	23539	0.176	1.07	0.327	0.2949	0.2155	0.1889	0.03186027	0.039448	0.03447	0.02189315	0.039485	0.03642	0.014992569	0.088	0.0643	0.097264
2015i	ASD	PGC_noiPSYCH	0.01965	0.8	0.6	0.73	0.099	5305	5305	5305	5305	0.303	0.65	0.28	0.2476	0.1657	0.1408	0.0023227	NA	NA	0.00811491	NA	NA	0.004167872	0.007		NA
2015i	ASD	iPSYCH_Eur	0.01965	0.8	0.6	0.73	0.099	14008	24196	14008	24196	0.105	1.02	0.28	0.2476	0.1657	0.1408	0.01142074	NA	NA	0.0080892	NA	NA	0.004167872	0.086	NA	NA
2015i	ASD	iPSYCH_EurUnrel	0.01965	0.8	0.6	0.73	0.099	12234	23691	12234	23691	0.113	0.989	0.28	0.2476	0.1657	0.1408	0.01035809	0.013856	0.01076	0.0083554	0.019148	0.01468	0.004167872	0.038	0.0239	0.046469
2015i	BPD	PGC_noiPSYCH	0.0158	0.6	0.4	0.5	0.152	41109	369170	50981	50981	0.176	0.7261	0.2692	0.2314	0.1734	0.1397	0.02239822	0.022588	0.0205	0.01643494	0.020195	0.01656	0.012911954	0.05	0.0346	0.052272
2015i	MDD	PGC_noiPSYCH	0.12285	0.4	0.2	0.38	0.134	154514	313596	200617.5	200617.5	0.075	0.671	0.3735	0.324	0.2187	0.1773	0.01695506	0.017382	0.01884	0.01045177	0.020882	0.01892	0.007724171	0.072	0.0556	0.077492
2015i	SCZ	PGC_noiPSYCH	0.01745	0.8	0.6	0.68	0.138	67390	94015	73258	73258	0.222	0.4966	0.2789	0.2412	0.1862	0.1614	0.03150148	NA	NA	0.00714353	NA	NA	0.003202315	0.053		NA
2015i	SCZ	PGC_noDanes	0.01745	0.8	0.6	0.68	0.138	50948	72099	58275.5	58275.5	0.259	0.4451	0.2789	0.2412	0.1862	0.1614	0.01446519	0.015149	0.01395	0.00697769	0.010655	0.01147	0.003202315	0.051	0.0327	0.052063
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
